#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input/CP182374.fasta	CP182374.1	4688	5320	+	CRP	1-633/633	===============	0/0	100.00	99.21	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
input/CP182374.fasta	CP182374.1	175066	176223	+	mdtE	1-1158/1158	===============	0/0	100.00	99.74	card	AP009048.1:3981183-3980025	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.	fluoroquinolone;macrolide;penam
input/CP182374.fasta	CP182374.1	176248	179361	+	mdtF	1-3114/3114	===============	0/0	100.00	98.49	card	U00096:3660413-3663527	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	fluoroquinolone;macrolide;penam
input/CP182374.fasta	CP182374.1	179724	180452	-	gadW	1-729/729	===============	0/0	100.00	94.38	card	CP015085.1:2552440-2551711	GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.	fluoroquinolone;macrolide;penam
input/CP182374.fasta	CP182374.1	180820	181644	-	gadX	1-825/825	===============	0/0	100.00	97.82	card	AP009048.1:3974604-3975429	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	fluoroquinolone;macrolide;penam
input/CP182374.fasta	CP182374.1	635687	637060	-	cpxA	1-1374/1374	===============	0/0	100.00	98.76	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
input/CP182374.fasta	CP182374.1	842276	843742	-	mdtP	1-1467/1467	===============	0/0	100.00	98.23	card	AP009048.1:4304509-4303042	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride	acridine_dye;nucleoside
input/CP182374.fasta	CP182374.1	843739	845790	-	mdtO	1-2052/2052	===============	0/0	100.00	98.20	card	AP009048.1:4306557-4304505	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride	acridine_dye;nucleoside
input/CP182374.fasta	CP182374.1	845790	846821	-	mdtN	1-1032/1032	===============	0/0	100.00	98.06	card	AP009048.1:4307588-4306556	Multidrug resistance efflux pump. Could be involved in resistance to puromycin acriflavine and tetraphenylarsonium chloride.	acridine_dye;nucleoside
input/CP182374.fasta	CP182374.1	869484	871127	-	eptA	1-1644/1644	===============	0/0	100.00	99.39	card	AP009048:4340268-4338624	PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.	peptide
