#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
input/NZ_CP132041.fasta	NZ_CP132041.1	101684	103050	+	cpxA	1-1367/1374	===============	0/0	99.49	82.44	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
input/NZ_CP132041.fasta	NZ_CP132041.1	653456	654088	-	CRP	1-633/633	===============	0/0	100.00	86.89	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
input/NZ_CP132041.fasta	NZ_CP132041.1	1430094	1431632	-	Klebsiella_pneumoniae_KpnH	1-1539/1539	===============	0/0	100.00	83.89	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
input/NZ_CP132041.fasta	NZ_CP132041.1	1431648	1432820	-	Klebsiella_pneumoniae_KpnG	1-1173/1173	===============	0/0	100.00	85.17	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
input/NZ_CP132041.fasta	NZ_CP132041.1	1432973	1433481	-	emrR	1-509/531	===============	0/0	95.86	85.46	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
input/NZ_CP132041.fasta	NZ_CP132041.1	1491560	1494689	-	oqxB	1-3130/3153	===============	0/0	99.27	87.41	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
input/NZ_CP132041.fasta	NZ_CP132041.1	1494713	1495888	-	oqxA	1-1176/1176	========/======	2/6	99.74	83.55	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
input/NZ_CP132041.fasta	NZ_CP132041.1	2019666	2020379	-	baeR	1-714/723	===============	0/0	98.76	80.25	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
input/NZ_CP132041.fasta	NZ_CP132041.1	2023307	2026383	-	mdtC	2-3078/3078	========/======	2/2	99.94	81.16	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
input/NZ_CP132041.fasta	NZ_CP132041.1	2026385	2029507	-	mdtB	1-3123/3123	========/======	2/4	99.94	81.06	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
input/NZ_CP132041.fasta	NZ_CP132041.1	2557316	2557717	-	H-NS	1-402/414	===============	0/0	97.10	87.56	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
input/NZ_CP132041.fasta	NZ_CP132041.1	2904085	2904447	+	Klebsiella_pneumoniae_KpnE	1-363/363	========/======	2/6	99.17	81.15	card	AP006725.1:2483889-2484252	KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime ceftriaxon colistin erythromycin rifampin tetracycline and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate deoxycholate dyes benzalkonium chloride chlorhexidine and triclosan	aminoglycoside;cephalosporin;macrolide;peptide;rifamycin;tetracycline
input/NZ_CP132041.fasta	NZ_CP132041.1	3031408	3031759	-	marA	1-352/384	==============.	0/0	91.67	84.94	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;cephamycin;fluoroquinolone;glycylcycline;monobactam;penam;penem;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP132041.fasta	NZ_CP132041.1	3969791	3971539	-	msbA	1-1749/1749	===============	0/0	100.00	81.19	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
input/NZ_CP132041.fasta	NZ_CP132041.1	4599040	4600233	+	Klebsiella_pneumoniae_acrA	1-1197/1197	========/======	4/5	99.67	83.72	card	AJ318073.1:793-1990	AcrA is a subunit of the AcrAB multidrug efflux system that in K. pneumoniae which is encoded by the acrRAB operon.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP132041.fasta	NZ_CP132041.1	4600256	4603400	+	acrB	1-3148/3150	========/======	3/9	99.75	84.96	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
input/NZ_CP132041.fasta	NZ_CP132041.1	5208305	5208724	-	FosA5	1-420/420	===============	0/0	100.00	84.52	card	KP143090.1:1619-1199	fosA5 is a fosfomycin resistance gene isolated from clinical strain of Escherichia coli E265. It is susceptible to amikacin tetracycline and imipenem and resistant to sulphonamide cephalosporins gentamicin ciprofloxacin chloramphenicol and streptomycin	fosfomycin
