accession,version,locus,definition,organism,source,biosample,bioproject,keywords,taxonomy,assembly_accession,assembly_name,assembly_level,refseq_category,ref_authors,ref_title,ref_journal,ref_pubmed
,,,,,,,,,,,,,,,,,
AP039418,AP039418.1,AP039418,"Escherichia coli BroCaecum-55 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00874696,PRJDB19974,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kawano,K., Masaki,T., Kawaguchi,T. and Kuroda,M.",Persistence of Colistin Resistance and mcr-1.1-Positive E. coli in Poultry Despite Colistin Ban in Japan,"Antibiotics (Basel) 14 (4), 360 (2025)",40298502
,,,,,,,,,,,,,,,,,
CP159455,CP159455.1,CP159455,"Escherichia coli strain S6aCHROMc chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN42056363,PRJNA1096459,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Kovarova,A., Prole,G., Farrell,M.L., Maguire,M., Murphy,L.C., Chueiri,A., O'Connor,L., Miliotis,G., Morris,D. and Burke,L.P.",Antimicrobial resistant Enterobacterales of clinical importance in mute swans,"Sci Total Environ 961, 178400 (2025)",39798462
,,,,,,,,,,,,,,,,,
AP035757,AP035757.1,AP035757,"Escherichia coli SOI121 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00770530,PRJDB18000,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Murakami,K., Ida,M., Kubota,H., Suzuki,Y., Miyake,H. and Sadamasu,K.",Complete genome sequences of Escherichia coli SOI121,Unpublished,
,,,,,,,,,,,,,,,,,
AP040249,AP040249.1,AP040249,"Escherichia coli B1-56 DNA, complete genome",Escherichia coli,Escherichia coli,SAMD00548845,PRJDB13852,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Koide,N., Matsuyama,R., Sugiyama,M., Yossapol,M., Sudo,A., Suzuki,M., Murakami,K., Kuroda,M. and Asai,T.",Transmission of antimicrobial resistance determinant in Escherichia species between wild great cormorants and lake water in Japan,Unpublished,
,,,,,,,,,,,,,,,,,
CP184002,CP184002.1,CP184002,"Escherichia coli strain 884 chromosome, complete genome",Escherichia coli,Escherichia coli,SAMN47255919,PRJNA1232972,,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,,,,,"Matsumura,Y., Peirano,G. and Pitout,J.D.D.",Direct Submission,"Submitted (07-MAR-2025) Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine, 54 Shogoin-kawaharacho, Sakyo-ku, Kyoto 6068507, Japan",
,,,,,,,,,,,,,,,,,
